Name,AccountExternalId,SecurityExternalId,MarketValue__c,Quantity__c
PA_0001-HDFCBANK,PA_0001,SEC_HDFCBANK,5040000,100
PA_0002-ICICIBANK,PA_0002,SEC_ICICIBANK,4840000,100
PA_0003-BANKBEES,PA_0003,SEC_BANKBEES,3150000,100
PA_0004-AXISBANK,PA_0004,SEC_AXISBANK,2764636,100
PA_0005-ICICIBANK,PA_0005,SEC_ICICIBANK,1240824,100
PA_0006-BAJAJFINSV,PA_0006,SEC_BAJAJFINSV,1009612,100
PA_0007-ICICIBANK,PA_0007,SEC_ICICIBANK,3855417,100
PA_0008-BAJAJFINSV,PA_0008,SEC_BAJAJFINSV,4142405,100
PA_0114-BAJFINANCE,PA_0114,SEC_BAJFINANCE,1516328,100
PA_0371-SBIN,PA_0371,SEC_SBIN,8132338,100
PA_0239-BAJAJFINSV,PA_0239,SEC_BAJAJFINSV,2077117,100
PA_0375-BAJAJFINSV,PA_0375,SEC_BAJAJFINSV,2951368,100
PA_0326-HDFCBANK,PA_0326,SEC_HDFCBANK,1228309,100
PA_0101-KOTAKBANK,PA_0101,SEC_KOTAKBANK,1370759,100
PA_0427-ICICIBANK,PA_0427,SEC_ICICIBANK,3620863,100
PA_0293-BAJAJFINSV,PA_0293,SEC_BAJAJFINSV,1626580,100
PA_0409-ICICIBANK,PA_0409,SEC_ICICIBANK,2603644,100
PA_0175-BAJAJFINSV,PA_0175,SEC_BAJAJFINSV,883793,100
PA_0210-ICICIBANK,PA_0210,SEC_ICICIBANK,1537101,100
PA_0134-ICICIBANK,PA_0134,SEC_ICICIBANK,1341781,100
PA_0246-BAJFINANCE,PA_0246,SEC_BAJFINANCE,4747092,100
PA_0357-AXISBANK,PA_0357,SEC_AXISBANK,1209755,100
PA_0389-BANKBEES,PA_0389,SEC_BANKBEES,1568613,100
PA_0230-BANKBEES,PA_0230,SEC_BANKBEES,1403224,100
PA_0368-BAJAJFINSV,PA_0368,SEC_BAJAJFINSV,1311534,100
PA_0092-BANKBEES,PA_0092,SEC_BANKBEES,6655037,100
PA_0356-HDFCBANK,PA_0356,SEC_HDFCBANK,1905152,100
PA_0231-BAJAJFINSV,PA_0231,SEC_BAJAJFINSV,1545421,100
PA_0378-SBIN,PA_0378,SEC_SBIN,658494,100
PA_0152-HDFCBANK,PA_0152,SEC_HDFCBANK,1431721,100
PA_0228-BAJFINANCE,PA_0228,SEC_BAJFINANCE,868705,100
PA_0195-KOTAKBANK,PA_0195,SEC_KOTAKBANK,971123,100
PA_0258-HDFCBANK,PA_0258,SEC_HDFCBANK,1128505,100
PA_0342-KOTAKBANK,PA_0342,SEC_KOTAKBANK,850695,100
PA_0275-ICICIBANK,PA_0275,SEC_ICICIBANK,1831196,100
PA_0302-KOTAKBANK,PA_0302,SEC_KOTAKBANK,944863,100
PA_0438-HDFCBANK,PA_0438,SEC_HDFCBANK,1625001,100
PA_0252-BAJAJFINSV,PA_0252,SEC_BAJAJFINSV,6719888,100
PA_0098-ICICIBANK,PA_0098,SEC_ICICIBANK,3788204,100
PA_0135-SBIN,PA_0135,SEC_SBIN,1061787,100
PA_0263-AXISBANK,PA_0263,SEC_AXISBANK,634507,100
PA_0273-BANKBEES,PA_0273,SEC_BANKBEES,1397010,100
PA_0213-BAJFINANCE,PA_0213,SEC_BAJFINANCE,2771420,100
PA_0323-AXISBANK,PA_0323,SEC_AXISBANK,1122142,100
PA_0332-ICICIBANK,PA_0332,SEC_ICICIBANK,2984040,100
PA_0355-HDFCBANK,PA_0355,SEC_HDFCBANK,2976564,100
PA_0338-KOTAKBANK,PA_0338,SEC_KOTAKBANK,1186467,100
PA_0264-HDFCBANK,PA_0264,SEC_HDFCBANK,1001100,100
PA_0156-ICICIBANK,PA_0156,SEC_ICICIBANK,673945,100
PA_0158-ICICIBANK,PA_0158,SEC_ICICIBANK,1796401,100
PA_0444-BAJAJFINSV,PA_0444,SEC_BAJAJFINSV,1396075,100
PA_0242-BANKBEES,PA_0242,SEC_BANKBEES,3208337,100
PA_0253-BAJFINANCE,PA_0253,SEC_BAJFINANCE,2064976,100
PA_0392-ICICIBANK,PA_0392,SEC_ICICIBANK,2203551,100
PA_0161-SBIN,PA_0161,SEC_SBIN,295872,100
PA_0109-ICICIBANK,PA_0109,SEC_ICICIBANK,2397222,100
PA_0116-KOTAKBANK,PA_0116,SEC_KOTAKBANK,2058801,100
PA_0219-ICICIBANK,PA_0219,SEC_ICICIBANK,3243350,100
PA_0358-HDFCBANK,PA_0358,SEC_HDFCBANK,983394,100
PA_0278-AXISBANK,PA_0278,SEC_AXISBANK,804798,100
PA_0312-SBIN,PA_0312,SEC_SBIN,1393239,100
PA_0331-BAJAJFINSV,PA_0331,SEC_BAJAJFINSV,314944,100
PA_0001-LIQUIDBEES,PA_0001,SEC_LIQUIDBEES,2520000,118
PA_0001-HCLTECH,PA_0001,SEC_HCLTECH,2520000,116
PA_0001-HCLTECH,PA_0001,SEC_HCLTECH,2520000,466
PA_0001-M&M,PA_0001,SEC_M&M,2520000,217
PA_0001-SUNPHARMA,PA_0001,SEC_SUNPHARMA,2520000,177
PA_0001-RELIANCE,PA_0001,SEC_RELIANCE,2520000,380
PA_0002-TCS,PA_0002,SEC_TCS,4840000,362
PA_0002-ADANIPORTS,PA_0002,SEC_ADANIPORTS,4840000,291
PA_0002-TATAMOTORS,PA_0002,SEC_TATAMOTORS,4840000,292
PA_0003-HEROMOTOCO,PA_0003,SEC_HEROMOTOCO,1575000,118
PA_0003-TATAMOTORS,PA_0003,SEC_TATAMOTORS,1575000,307
PA_0003-HDFCLIFE,PA_0003,SEC_HDFCLIFE,1575000,435
PA_0003-HEROMOTOCO,PA_0003,SEC_HEROMOTOCO,1575000,309
PA_0003-MARUTI,PA_0003,SEC_MARUTI,1575000,498
PA_0003-ONGC,PA_0003,SEC_ONGC,1575000,481
PA_0004-GRASIM,PA_0004,SEC_GRASIM,2764636,196
PA_0004-NTPC,PA_0004,SEC_NTPC,2764636,227
PA_0004-DRREDDY,PA_0004,SEC_DRREDDY,2764636,247
PA_0005-BHARTIARTL,PA_0005,SEC_BHARTIARTL,620412,146
PA_0005-EICHERMOT,PA_0005,SEC_EICHERMOT,620412,133
PA_0005-COALINDIA,PA_0005,SEC_COALINDIA,620412,481
PA_0005-INFY,PA_0005,SEC_INFY,620412,301
PA_0005-LT,PA_0005,SEC_LT,620412,26
PA_0005-INDUSINDBK,PA_0005,SEC_INDUSINDBK,620412,368
PA_0006-UPL,PA_0006,SEC_UPL,757209,484
PA_0006-UPL,PA_0006,SEC_UPL,757209,82
PA_0006-ADANIPORTS,PA_0006,SEC_ADANIPORTS,757209,106
PA_0006-DRREDDY,PA_0006,SEC_DRREDDY,757209,77
PA_0007-ADANIPORTS,PA_0007,SEC_ADANIPORTS,2891563,75
PA_0007-EICHERMOT,PA_0007,SEC_EICHERMOT,2891563,490
PA_0007-ADANIENT,PA_0007,SEC_ADANIENT,2891563,244
PA_0007-BHARTIARTL,PA_0007,SEC_BHARTIARTL,2891563,75
PA_0008-BPCL,PA_0008,SEC_BPCL,4142405,310
PA_0008-UPL,PA_0008,SEC_UPL,4142405,327
PA_0008-NIFTYBEES,PA_0008,SEC_NIFTYBEES,4142405,199
PA_0009-M&M,PA_0009,SEC_M&M,1151450,136
PA_0009-INFY,PA_0009,SEC_INFY,1151450,366
PA_0009-HINDALCO,PA_0009,SEC_HINDALCO,1151450,264
PA_0010-APOLLOHOSP,PA_0010,SEC_APOLLOHOSP,1410907,190
PA_0010-EICHERMOT,PA_0010,SEC_EICHERMOT,1410907,115
PA_0010-HINDALCO,PA_0010,SEC_HINDALCO,1410907,320
PA_0010-LT,PA_0010,SEC_LT,1410907,472
PA_0011-UPL,PA_0011,SEC_UPL,1374912,93
PA_0011-SUNPHARMA,PA_0011,SEC_SUNPHARMA,1374912,111
PA_0011-TECHM,PA_0011,SEC_TECHM,1374912,348
PA_0011-APOLLOHOSP,PA_0011,SEC_APOLLOHOSP,1374912,98
PA_0011-LIQUIDBEES,PA_0011,SEC_LIQUIDBEES,1374912,339
PA_0011-INFY,PA_0011,SEC_INFY,1374912,461
PA_0012-EICHERMOT,PA_0012,SEC_EICHERMOT,906932,21
PA_0012-APOLLOHOSP,PA_0012,SEC_APOLLOHOSP,906932,15
PA_0012-HEROMOTOCO,PA_0012,SEC_HEROMOTOCO,906932,45
PA_0012-TITAN,PA_0012,SEC_TITAN,906932,411
PA_0012-DIVISLAB,PA_0012,SEC_DIVISLAB,906932,349
PA_0012-TATASTEEL,PA_0012,SEC_TATASTEEL,906932,393
