ExternalId,Ticker,Name,Sector
SEC_RELIANCE,RELIANCE,RELIANCE,Energy
SEC_TCS,TCS,TCS,IT
SEC_HDFCBANK,HDFCBANK,HDFCBANK,Banking
SEC_INFY,INFY,INFY,IT
SEC_ICICIBANK,ICICIBANK,ICICIBANK,Banking
SEC_SBIN,SBIN,SBIN,Banking
SEC_AXISBANK,AXISBANK,AXISBANK,Banking
SEC_KOTAKBANK,KOTAKBANK,KOTAKBANK,Banking
SEC_ITC,ITC,ITC,FMCG
SEC_LT,LT,LT,Other
SEC_HINDUNILVR,HINDUNILVR,HINDUNILVR,FMCG
SEC_BHARTIARTL,BHARTIARTL,BHARTIARTL,Other
SEC_BAJFINANCE,BAJFINANCE,BAJFINANCE,Other
SEC_BAJAJFINSV,BAJAJFINSV,BAJAJFINSV,Other
SEC_HCLTECH,HCLTECH,HCLTECH,IT
SEC_WIPRO,WIPRO,WIPRO,IT
SEC_ASIANPAINT,ASIANPAINT,ASIANPAINT,Other
SEC_MARUTI,MARUTI,MARUTI,Auto
SEC_M&M,M&M,M&M,Auto
SEC_TITAN,TITAN,TITAN,Other
SEC_ULTRACEMCO,ULTRACEMCO,ULTRACEMCO,Other
SEC_NESTLEIND,NESTLEIND,NESTLEIND,FMCG
SEC_SUNPHARMA,SUNPHARMA,SUNPHARMA,Pharma
SEC_DRREDDY,DRREDDY,DRREDDY,Pharma
SEC_NTPC,NTPC,NTPC,Energy
SEC_POWERGRID,POWERGRID,POWERGRID,Energy
SEC_COALINDIA,COALINDIA,COALINDIA,Energy
SEC_GRASIM,GRASIM,GRASIM,Other
SEC_JSWSTEEL,JSWSTEEL,JSWSTEEL,Other
SEC_TATASTEEL,TATASTEEL,TATASTEEL,Other
SEC_TATAMOTORS,TATAMOTORS,TATAMOTORS,Auto
SEC_HEROMOTOCO,HEROMOTOCO,HEROMOTOCO,Auto
SEC_BAJAJ-AUTO,BAJAJ-AUTO,BAJAJ-AUTO,Auto
SEC_ADANIPORTS,ADANIPORTS,ADANIPORTS,Other
SEC_CIPLA,CIPLA,CIPLA,Pharma
SEC_DIVISLAB,DIVISLAB,DIVISLAB,Pharma
SEC_BPCL,BPCL,BPCL,Energy
SEC_HDFCLIFE,HDFCLIFE,HDFCLIFE,Other
SEC_SBILIFE,SBILIFE,SBILIFE,Other
SEC_ONGC,ONGC,ONGC,Energy
SEC_UPL,UPL,UPL,Other
SEC_BRITANNIA,BRITANNIA,BRITANNIA,FMCG
SEC_TECHM,TECHM,TECHM,IT
SEC_TATACONSUM,TATACONSUM,TATACONSUM,FMCG
SEC_INDUSINDBK,INDUSINDBK,INDUSINDBK,Banking
SEC_EICHERMOT,EICHERMOT,EICHERMOT,Auto
SEC_HINDALCO,HINDALCO,HINDALCO,Other
SEC_APOLLOHOSP,APOLLOHOSP,APOLLOHOSP,Pharma
SEC_ADANIENT,ADANIENT,ADANIENT,Other
SEC_SHRIRAMFIN,SHRIRAMFIN,SHRIRAMFIN,Other
SEC_BANKBEES,BANKBEES,BANKBEES,Banking
SEC_NIFTYBEES,NIFTYBEES,NIFTYBEES,Other
SEC_LIQUIDBEES,LIQUIDBEES,LIQUIDBEES,Other
